St. Louis, Missouri December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2024
Missing: -99
Date,Value,Anomaly
193804,57.3,0.3
193805,65.6,-1.2
193806,74.3,-1.9
193807,81.3,1.2
193808,82.0,3.6
193809,72.7,2.0
193810,63.9,4.7
193811,46.9,1.0
193812,35.7,0.2
193901,38.7,7.5
193902,33.9,-1.5
193903,47.6,2.2
193904,53.0,-4.0
193905,68.9,2.1
193906,76.3,0.1
193907,80.5,0.4
193908,76.3,-2.1
193909,75.8,5.1
193910,61.1,1.9
193911,44.1,-1.8
193912,36.7,1.2
194001,14.9,-16.3
194002,33.1,-2.3
194003,43.0,-2.4
194004,54.1,-2.9
194005,63.6,-3.2
194006,76.5,0.3
194007,79.5,-0.6
194008,78.2,-0.2
194009,69.5,-1.2
194010,63.6,4.4
194011,42.3,-3.6
194012,39.0,3.5
194101,34.2,3.0
194102,32.0,-3.4
194103,39.9,-5.5
194104,59.6,2.6
194105,70.1,3.3
194106,76.9,0.7
194107,81.0,0.9
194108,80.8,2.4
194109,72.5,1.8
194110,62.2,3.0
194111,45.5,-0.4
194112,40.2,4.7
194201,31.6,0.4
194202,33.4,-2.0
194203,46.3,0.9
194204,60.1,3.1
194205,65.7,-1.1
194206,75.1,-1.1
194207,80.6,0.5
194208,76.3,-2.1
194209,69.1,-1.6
194210,58.8,-0.4
194211,47.6,1.7
194212,31.7,-3.8
194301,30.8,-0.4
194302,39.1,3.7
194303,40.0,-5.4
194304,55.0,-2.0
194305,65.2,-1.6
194306,77.9,1.7
194307,81.9,1.8
194308,80.9,2.5
194309,66.5,-4.2
194310,57.1,-2.1
194311,41.7,-4.2
194312,31.1,-4.4
194401,36.2,5.0
194402,37.4,2.0
194403,41.0,-4.4
194404,53.4,-3.6
194405,71.2,4.4
194406,79.5,3.3
194407,79.6,-0.5
194408,78.2,-0.2
194409,70.3,-0.4
194410,60.1,0.9
194411,46.4,0.5
194412,28.5,-7.0
194501,27.9,-3.3
194502,35.4,0.0
194503,54.0,8.6
194504,56.9,-0.1
194505,61.3,-5.5
194506,71.0,-5.2
194507,77.5,-2.6
194508,78.0,-0.4
194509,69.9,-0.8
194510,57.5,-1.7
194511,45.2,-0.7
194512,27.7,-7.8
194601,33.6,2.4
194602,40.1,4.7
194603,56.5,11.1
194604,60.5,3.5
194605,62.8,-4.0
194606,76.6,0.4
194607,80.1,0.0
194608,73.5,-4.9
194609,69.2,-1.5
194610,62.0,2.8
194611,47.3,1.4
194612,39.9,4.4
194701,36.4,5.2
194702,28.3,-7.1
194703,36.6,-8.8
194704,54.8,-2.2
194705,63.9,-2.9
194706,73.9,-2.3
194707,76.8,-3.3
194708,85.6,7.2
194709,71.7,1.0
194710,65.8,6.6
194711,40.2,-5.7
194712,38.1,2.6
194801,25.4,-5.8
194802,33.2,-2.2
194803,43.3,-2.1
194804,60.3,3.3
194805,64.8,-2.0
194806,75.5,-0.7
194807,79.3,-0.8
