Category: All categories

Month,vacation: (Poland)
2004-01,0
2004-02,100
2004-03,0
2004-04,0
2004-05,0
2004-06,68
2004-07,47
2004-08,0
2004-09,0
2004-10,0
2004-11,31
2004-12,43
2005-01,35
2005-02,0
2005-03,0
2005-04,34
2005-05,26
2005-06,30
2005-07,70
2005-08,50
2005-09,46
2005-10,15
2005-11,30
2005-12,18
2006-01,25
2006-02,25
2006-03,42
2006-04,37
2006-05,47
2006-06,44
2006-07,45
2006-08,40
2006-09,40
2006-10,32
2006-11,49
2006-12,41
2007-01,48
2007-02,52
2007-03,51
2007-04,48
2007-05,46
2007-06,54
2007-07,56
2007-08,41
2007-09,32
2007-10,32
2007-11,27
2007-12,26
2008-01,34
2008-02,32
2008-03,31
2008-04,31
2008-05,27
2008-06,34
2008-07,48
2008-08,34
2008-09,31
2008-10,33
2008-11,26
2008-12,19
2009-01,23
2009-02,20
2009-03,17
2009-04,15
2009-05,16
2009-06,26
2009-07,37
2009-08,28
2009-09,17
2009-10,17
2009-11,17
2009-12,22
2010-01,24
2010-02,26
2010-03,22
2010-04,24
2010-05,23
2010-06,35
2010-07,35
2010-08,30
2010-09,22
2010-10,17
2010-11,24
2010-12,24
2011-01,23
2011-02,19
2011-03,19
2011-04,21
2011-05,23
2011-06,35
2011-07,47
2011-08,37
2011-09,20
2011-10,23
2011-11,20
2011-12,27
2012-01,18
2012-02,23
2012-03,19
2012-04,21
2012-05,50
2012-06,34
2012-07,39
2012-08,30
2012-09,27
2012-10,18
2012-11,17
2012-12,22
2013-01,20
2013-02,21
2013-03,18
2013-04,19
2013-05,21
2013-06,24
2013-07,34
2013-08,27
2013-09,16
2013-10,14
2013-11,16
2013-12,24
2014-01,20
2014-02,17
2014-03,17
2014-04,17
2014-05,20
2014-06,27
2014-07,31
2014-08,28
2014-09,21
2014-10,18
2014-11,19
2014-12,24
2015-01,17
2015-02,20
2015-03,17
2015-04,21
2015-05,29
2015-06,33
2015-07,38
2015-08,36
2015-09,47
2015-10,41
2015-11,35
2015-12,47
2016-01,32
2016-02,23
2016-03,25
2016-04,22
2016-05,25
2016-06,35
2016-07,41
2016-08,41
2016-09,25
2016-10,22
2016-11,20
2016-12,30
2017-01,24
2017-02,22
2017-03,18
2017-04,17
2017-05,27
2017-06,27
2017-07,33
2017-08,27
2017-09,21
2017-10,17
2017-11,18
2017-12,25
2018-01,22
2018-02,18
2018-03,21
2018-04,30
2018-05,25
2018-06,34
2018-07,34
2018-08,34
2018-09,27
2018-10,23
2018-11,21
2018-12,26
2019-01,27
2019-02,26
2019-03,23
2019-04,27
2019-05,27
2019-06,38
2019-07,41
2019-08,38
2019-09,28
2019-10,21
2019-11,27
2019-12,30
2020-01,27
2020-02,26
2020-03,23
2020-04,20
2020-05,22
2020-06,31
2020-07,37
2020-08,35
2020-09,24
2020-10,18
2020-11,18
2020-12,23
2021-01,22
2021-02,25
2021-03,23
2021-04,26
2021-05,31
2021-06,40
2021-07,50
2021-08,46
2021-09,34
2021-10,24
2021-11,27
2021-12,43
2022-01,41
2022-02,35
2022-03,29
2022-04,34
2022-05,38
2022-06,50
2022-07,53
2022-08,53
2022-09,35
2022-10,26
2022-11,28
2022-12,33
2023-01,34
2023-02,27
2023-03,36
2023-04,37
2023-05,39
2023-06,45
2023-07,55
2023-08,52
2023-09,42
2023-10,31
2023-11,30
2023-12,41
2024-01,37
2024-02,44
2024-03,43
