Category: All categories

Month,vacation: (United Kingdom)
2004-01,41
2004-02,38
2004-03,43
2004-04,36
2004-05,38
2004-06,37
2004-07,43
2004-08,36
2004-09,32
2004-10,29
2004-11,25
2004-12,33
2005-01,42
2005-02,32
2005-03,31
2005-04,29
2005-05,26
2005-06,28
2005-07,29
2005-08,28
2005-09,23
2005-10,21
2005-11,19
2005-12,22
2006-01,28
2006-02,24
2006-03,26
2006-04,23
2006-05,22
2006-06,26
2006-07,27
2006-08,23
2006-09,23
2006-10,21
2006-11,19
2006-12,25
2007-01,28
2007-02,25
2007-03,24
2007-04,24
2007-05,21
2007-06,23
2007-07,24
2007-08,25
2007-09,20
2007-10,20
2007-11,19
2007-12,22
2008-01,27
2008-02,23
2008-03,23
2008-04,20
2008-05,22
2008-06,25
2008-07,25
2008-08,28
2008-09,19
2008-10,18
2008-11,19
2008-12,20
2009-01,24
2009-02,20
2009-03,19
2009-04,19
2009-05,17
2009-06,19
2009-07,21
2009-08,19
2009-09,18
2009-10,17
2009-11,16
2009-12,17
2010-01,22
2010-02,20
2010-03,20
2010-04,19
2010-05,19
2010-06,20
2010-07,21
2010-08,20
2010-09,16
2010-10,17
2010-11,15
2010-12,17
2011-01,25
2011-02,20
2011-03,18
2011-04,20
2011-05,19
2011-06,19
2011-07,21
2011-08,19
2011-09,18
2011-10,17
2011-11,17
2011-12,22
2012-01,23
2012-02,20
2012-03,18
2012-04,19
2012-05,23
2012-06,20
2012-07,21
2012-08,20
2012-09,20
2012-10,18
2012-11,16
2012-12,20
2013-01,22
2013-02,19
2013-03,18
2013-04,18
2013-05,17
2013-06,19
2013-07,20
2013-08,18
2013-09,16
2013-10,16
2013-11,17
2013-12,21
2014-01,19
2014-02,18
2014-03,16
2014-04,17
2014-05,17
2014-06,18
2014-07,22
2014-08,21
2014-09,17
2014-10,18
2014-11,16
2014-12,23
2015-01,24
2015-02,20
2015-03,18
2015-04,20
2015-05,25
2015-06,20
2015-07,24
2015-08,49
2015-09,29
2015-10,27
2015-11,23
2015-12,29
2016-01,30
2016-02,25
2016-03,25
2016-04,21
2016-05,20
2016-06,20
2016-07,29
2016-08,23
2016-09,19
2016-10,20
2016-11,21
2016-12,34
2017-01,23
2017-02,25
2017-03,20
2017-04,20
2017-05,18
2017-06,21
2017-07,23
2017-08,22
2017-09,19
2017-10,20
2017-11,18
2017-12,32
2018-01,23
2018-02,19
2018-03,18
2018-04,26
2018-05,22
2018-06,21
2018-07,22
2018-08,27
2018-09,22
2018-10,20
2018-11,24
2018-12,35
2019-01,25
2019-02,19
2019-03,21
2019-04,21
2019-05,21
2019-06,22
2019-07,25
2019-08,24
2019-09,32
2019-10,48
2019-11,57
2019-12,100
2020-01,77
2020-02,71
2020-03,63
2020-04,54
2020-05,60
2020-06,68
2020-07,94
2020-08,83
2020-09,74
2020-10,74
2020-11,80
2020-12,91
2021-01,70
2021-02,53
2021-03,51
2021-04,19
2021-05,22
2021-06,23
2021-07,23
2021-08,27
2021-09,25
2021-10,23
2021-11,26
2021-12,49
2022-01,30
2022-02,25
2022-03,25
2022-04,24
2022-05,25
2022-06,28
2022-07,29
2022-08,32
2022-09,27
2022-10,27
2022-11,25
2022-12,47
2023-01,26
2023-02,25
2023-03,24
2023-04,25
2023-05,23
2023-06,25
2023-07,27
2023-08,29
2023-09,27
2023-10,26
2023-11,26
2023-12,49
2024-01,28
2024-02,27
2024-03,22
