Category: All categories

Month,vacation: (United States)
2004-01,98
2004-02,89
2004-03,80
2004-04,78
2004-05,85
2004-06,92
2004-07,94
2004-08,78
2004-09,60
2004-10,60
2004-11,59
2004-12,66
2005-01,100
2005-02,91
2005-03,87
2005-04,76
2005-05,88
2005-06,91
2005-07,89
2005-08,72
2005-09,53
2005-10,54
2005-11,53
2005-12,58
2006-01,89
2006-02,79
2006-03,76
2006-04,69
2006-05,72
2006-06,84
2006-07,88
2006-08,65
2006-09,55
2006-10,55
2006-11,54
2006-12,56
2007-01,90
2007-02,80
2007-03,78
2007-04,74
2007-05,75
2007-06,89
2007-07,86
2007-08,71
2007-09,56
2007-10,54
2007-11,51
2007-12,55
2008-01,85
2008-02,72
2008-03,76
2008-04,67
2008-05,73
2008-06,79
2008-07,77
2008-08,62
2008-09,48
2008-10,46
2008-11,46
2008-12,52
2009-01,78
2009-02,68
2009-03,72
2009-04,63
2009-05,68
2009-06,79
2009-07,84
2009-08,64
2009-09,47
2009-10,46
2009-11,46
2009-12,56
2010-01,72
2010-02,68
2010-03,69
2010-04,61
2010-05,67
2010-06,77
2010-07,71
2010-08,55
2010-09,40
2010-10,37
2010-11,39
2010-12,47
2011-01,68
2011-02,63
2011-03,63
2011-04,56
2011-05,59
2011-06,72
2011-07,71
2011-08,56
2011-09,41
2011-10,38
2011-11,40
2011-12,50
2012-01,62
2012-02,57
2012-03,54
2012-04,53
2012-05,57
2012-06,68
2012-07,63
2012-08,48
2012-09,39
2012-10,34
2012-11,36
2012-12,51
2013-01,59
2013-02,55
2013-03,54
2013-04,49
2013-05,52
2013-06,58
2013-07,64
2013-08,48
2013-09,36
2013-10,34
2013-11,37
2013-12,49
2014-01,60
2014-02,51
2014-03,55
2014-04,49
2014-05,56
2014-06,62
2014-07,63
2014-08,48
2014-09,38
2014-10,35
2014-11,37
2014-12,51
2015-01,56
2015-02,52
2015-03,55
2015-04,49
2015-05,55
2015-06,65
2015-07,74
2015-08,69
2015-09,43
2015-10,39
2015-11,44
2015-12,55
2016-01,57
2016-02,54
2016-03,55
2016-04,53
2016-05,55
2016-06,61
2016-07,61
2016-08,50
2016-09,39
2016-10,37
2016-11,39
2016-12,55
2017-01,59
2017-02,56
2017-03,54
2017-04,53
2017-05,53
2017-06,62
2017-07,65
2017-08,48
2017-09,35
2017-10,38
2017-11,40
2017-12,55
2018-01,54
2018-02,52
2018-03,52
2018-04,55
2018-05,49
2018-06,59
2018-07,61
2018-08,49
2018-09,39
2018-10,35
2018-11,42
2018-12,57
2019-01,52
2019-02,50
2019-03,51
2019-04,47
2019-05,47
2019-06,57
2019-07,54
2019-08,45
2019-09,40
2019-10,36
2019-11,42
2019-12,59
2020-01,54
2020-02,50
2020-03,33
2020-04,26
2020-05,40
2020-06,56
2020-07,50
2020-08,42
2020-09,37
2020-10,34
2020-11,37
2020-12,56
2021-01,41
2021-02,46
2021-03,54
2021-04,54
2021-05,59
2021-06,62
2021-07,59
2021-08,50
2021-09,43
2021-10,41
2021-11,46
2021-12,59
2022-01,53
2022-02,54
2022-03,52
2022-04,47
2022-05,50
2022-06,56
2022-07,54
2022-08,48
2022-09,37
2022-10,34
2022-11,40
2022-12,56
2023-01,52
2023-02,45
2023-03,48
2023-04,42
2023-05,45
2023-06,51
2023-07,52
2023-08,46
2023-09,35
2023-10,31
2023-11,39
2023-12,53
2024-01,45
2024-02,42
2024-03,38
