Retail sales of electricity United States monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&freq=M&start=200101&end=202212&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
13:52:59 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours
Dec 2022,,,,
Oct 2022,292257.74617,103152.07773,106857.96303,81701.39939
Oct 2022,,,,
Oct 2022,,,,
Sep 2022,297195.94414,99792.19117,111851.35754,85017.015
Aug 2022,340543.84071,129241.3183,124195.27519,86549.52268
Jul 2022,389626.2823,160271.46691,135675.95261,93143.14117
Jul 2022,,,,
Jul 2022,,,,
Jun 2022,389214.17473,164276.57789,133951.71136,90419.84289
May 2022,347106.33234,136310.28781,121567.1717,88715.71321
May 2022,,,,
May 2022,,,,
Apr 2022,309696.95397,110070.73408,113007.20865,86089.69405
Mar 2022,284932.86674,97431.84407,104565.87141,82422.10664
Mar 2022,,,,
Mar 2022,,,,
Feb 2022,304300.02693,111438.58992,108603.13762,83679.08978
Jan 2022,305863.07052,125342.30282,103062.62117,76892.52873
Dec 2021,338656.04633,140504.06917,113605.09055,83982.00591
Dec 2021,,,,
Dec 2021,,,,
Nov 2021,307387.1788,117695.50509,106515.56744,82655.23457
Oct 2021,287133.80021,100590.96639,103506.07833,82545.23505
Oct 2021,,,,
Oct 2021,,,,
Sep 2021,302127.47063,103992.2144,112246.47542,85355.96905
Aug 2021,336444.01047,131111.30373,118988.68357,85817.13957
Jul 2021,381039.30375,157791.77207,131111.12131,91576.36666
Jul 2021,,,,
Jul 2021,,,,
Jun 2021,373948.29907,154494.57173,127855.73402,91052.25211
May 2021,338415.38015,132153.48565,119052.69114,86701.60938
May 2021,,,,
May 2021,,,,
Apr 2021,290060.60198,101160.29411,104711.2089,83702.51056
Mar 2021,272778.6964,93890.87998,98721.37911,79660.85904
Mar 2021,,,,
Mar 2021,,,,
Feb 2021,295345.00171,114373.98006,102877.23442,77551.52192
Jan 2021,299698.03448,126549.55737,98355.67733,74245.26189
Dec 2020,321496.47552,136682.35148,104497.64717,79749.53023
Dec 2020,,,,
Dec 2020,,,,
Nov 2020,315330.30203,129760.75834,105456.20387,79491.80083
Oct 2020,277249.20095,99660.93654,97896.62004,79166.79619
Oct 2020,,,,
Oct 2020,,,,
Sep 2020,296876.57754,105513.9361,108468.18854,82371.38049
Aug 2020,322554.51332,127823.89319,113219.74254,80976.88954
Jul 2020,368884.50417,158939.14743,123056.88421,86366.13013
Jul 2020,,,,
Jul 2020,,,,
Jun 2020,379530.04105,167108.14157,127107.48118,84758.37954
May 2020,320055.72389,131538.05061,109592.71987,78444.67875
May 2020,,,,
May 2020,,,,
Apr 2020,274707.0812,105680.94308,94299.1629,74273.01032
Mar 2020,262400.56179,97759.20304,91405.77238,72791.10205
Mar 2020,,,,
Mar 2020,,,,
Feb 2020,289893.78032,104254.94269,104109.84326,80930.61592
Jan 2020,294659.40487,112122.8819,103014.76876,78902.73171
